event_id,direction,mapped_tickers,horizon_days,chain_depth,audience_breadth,prediction_market_odds,entry_date,exit_date,strategy_return,spx_return,excess_return_raw,excess_return,hit,haircut,thin_etf,path_shape,front_loading,status
GW001,long,XLE;XOP,60,1,megaphone,,2025-01-21,2025-03-24,-0.036,-0.0452,0.0092,0.0077,True,0.0015,False,reversion,-2.102,ok
GW002,short,QQQ,21,2,megaphone,,2025-04-03,2025-04-24,-0.037,0.0186,-0.0556,-0.0571,False,0.0015,False,fizzle,-2.168,ok
GW003,short,F;GM,21,2,megaphone,,2025-02-03,2025-02-24,0.0257,-0.0009,0.0267,0.0252,True,0.0015,False,drift,-1.025,ok
GW004,short,GXG,14,2,broad,,2025-01-27,2025-02-10,-0.0636,0.0091,-0.0727,-0.0742,False,0.0015,False,fizzle,0.319,ok
GW005,long,COIN;MSTR;IBIT,30,2,megaphone,,2025-03-07,2025-04-07,-0.1491,-0.1216,-0.0275,-0.029,False,0.0015,False,fizzle,4.285,ok
GW006,short,ZIM,45,3,broad,,2024-12-23,2025-02-06,0.1153,0.0196,0.0957,0.0942,True,0.0015,False,reversion,-0.642,ok
GW007,long,MP,60,3,broad,,2025-01-07,2025-03-10,0.1866,-0.0477,0.2342,0.2327,True,0.0015,False,drift,-0.255,ok
GW008,short,PFE;MRK,21,2,megaphone,,2025-05-12,2025-06-02,0.018,0.0167,0.0013,-0.0002,False,0.0015,False,reversion,16.75,ok
GW009,short,TSLA,14,2,megaphone,,2025-06-05,2025-06-20,-0.1316,0.005,-0.1366,-0.1381,False,0.0015,False,fizzle,0.344,ok
GW010,long,NUE;CLF,30,1,broad,,2025-02-11,2025-03-13,-0.1004,-0.089,-0.0114,-0.0129,False,0.0015,False,fizzle,4.04,ok
GW011,long,TSLA,14,1,broad,,2024-10-11,2024-10-25,0.236,-0.0009,0.2369,0.2354,True,0.0015,False,drift,-0.008,ok
GW012,long,COIN,7,2,megaphone,,2025-01-21,2025-01-28,-0.042,0.0024,-0.0445,-0.046,False,0.0015,False,fizzle,-0.0,ok
GW013,short,BAH;LDOS,60,3,broad,,2024-11-13,2025-01-13,0.2123,-0.0232,0.2355,0.234,True,0.0015,False,drift,0.531,ok
GW014,long,INTC,30,2,broad,,2025-08-07,2025-09-08,0.2382,0.0262,0.212,0.2105,True,0.0015,False,drift,0.006,ok
GW015,long,ORCL,30,3,broad,,2025-01-21,2025-02-20,0.0199,0.0122,0.0077,0.0062,True,0.0015,False,reversion,8.016,ok
GW016,short,EZU,21,2,megaphone,,2025-05-23,2025-06-13,-0.0099,0.0309,-0.0408,-0.0423,False,0.0015,False,fizzle,0.903,ok
GW017,long,GLD,30,3,megaphone,,2025-04-17,2025-05-19,-0.0264,0.13,-0.1564,-0.1579,False,0.0015,False,fizzle,-0.35,ok
GW018,short,QQQ,10,2,broad,,2024-12-18,2024-12-30,0.0001,0.0067,-0.0066,-0.0081,False,0.0015,False,fizzle,-0.718,ok
GW019,short,KHC;GIS,45,2,niche,,2025-04-22,2025-06-06,0.0791,0.1363,-0.0572,-0.0587,False,0.0015,False,fizzle,0.122,ok
GW020,short,GM;F;STLA,30,2,megaphone,,2025-03-27,2025-04-28,0.0415,-0.0286,0.0701,0.0686,True,0.0015,False,reversion,0.619,ok
GW021,long,ORCL;NVDA;VRT,30,2,megaphone,,2025-01-22,2025-02-21,-0.1763,-0.0107,-0.1656,-0.1671,False,0.0015,False,fizzle,-0.06,ok
GW022,short,AAPL,21,1,megaphone,,2025-05-23,2025-06-13,-0.006,0.0309,-0.0369,-0.0384,False,0.0015,False,fizzle,1.248,ok
GW023,long,QQQ,7,1,megaphone,,2025-04-09,2025-04-16,-0.0468,-0.0419,-0.005,-0.0065,False,0.0015,False,fizzle,-0.259,ok
GW024,long,UUP,30,2,broad,,2024-12-02,2025-01-02,0.0326,-0.0282,0.0608,0.0593,True,0.0015,False,drift,-0.013,ok
GW025,long,XLE;ITA;BWET,45,3,megaphone,,2025-06-23,2025-08-07,-0.0238,0.0535,-0.0773,-0.0823,False,0.005,True,fizzle,0.708,ok
GW026,long,EUAD;ITA,60,3,broad,,2025-02-19,2025-04-21,0.0513,-0.1591,0.2104,0.2089,True,0.0015,False,drift,-0.058,ok
