event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
TRT030,2026-01-28T12:12:16+0000,Trump (Truth Social),"A massive Armada is heading to Iran. It is moving quickly, with great power, enthusiasm, and purpose. It is a larger fleet, headed by the great Aircraft Carrier Abraham Lincoln, than that sent to Venezuela. Like with Venezuela, it is, ready, willing, and able to rapidly fulfill its mission, with speed and violence, if necessary. Hopefully Iran will quickly ""Come to the Table"" and negotiate a fair and equitable deal - NO NUCLEAR WEAPONS - one that is good for all parties. Time is running out, it is truly of the essence! As I told Iran once before, MAKE A DEAL! They didn't, and there was ""Operation Midnight Hammer,"" a major destruction of Iran. The next attack will be far worse! Don't make that happen again. Thank you for your attention to this matter! President DONALD J. TRUMP",USO;XLE;ITA,long,Trump telegraphs a carrier armada and threatens a 'far worse' attack on Iran -> elevated Middle East war and Strait of Hormuz supply risk -> oil prices and energy/defense equities bid.,30,2,megaphone,US military strike on Iran by March 2026,medium,"Pre-telegraph context: prior 'Operation Midnight Hammer' strike on Iran and Venezuela naval buildup establish a credible escalation pattern; an explicit presidential threat plus a carrier group (Abraham Lincoln) moving toward Iran raises geopolitical risk premium on crude given Iran's oil output and Hormuz chokepoint, while defense names benefit from conflict expectations. Megaphone reach via top Truth Social post means the market reads it instantly. Oil (USO), energy equities (XLE), and defense (ITA) are the most direct liquid expressions."
TRT031,2026-01-29T23:29:25+0000,Trump (Truth Social),"Based on the fact that Canada has wrongfully, illegally, and steadfastly refused to certify the Gulfstream 500, 600, 700, and 800 Jets, one of the greatest, most technologically advanced airplanes ever made, we are hereby decertifying their Bombardier Global Expresses, and all Aircraft made in Canada, until such time as Gulfstream, a Great American Company, is fully certified, as it should have been many years ago. Further, Canada is effectively prohibiting the sale of Gulfstream products in Canada through this very same certification process. If, for any reason, this situation is not immediately corrected, I am going to charge Canada a 50% Tariff on any and all Aircraft sold into the United States of America. Thank you for your attention to this matter!DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA",GD,long,Trump publicly champions Gulfstream and decertifies/threatens tariffs on Canadian-made Bombardier jets -> Gulfstream's parent General Dynamics gains regulatory/competitive favor in the US business-jet market.,21,2,megaphone,Trump 50% tariff on Canadian aircraft 2026,medium,"Gulfstream is a brand of General Dynamics (GD), the only clean US-listed expression; the President explicitly endorses Gulfstream as 'a Great American Company' while moving to decertify and tariff its chief Canadian competitor Bombardier (not cleanly US-listed). A presidential Truth Social post is read instantly by the whole market. The favorable framing for the US incumbent plus threatened protectionism against the foreign rival points to a short-horizon relative tailwind for GD's aerospace/Gulfstream franchise."
TRT032,2026-02-02T16:58:20+0000,Trump (Truth Social),"It was an Honor to speak with Prime Minister Modi, of India, this morning. He is one of my greatest friends and, a Powerful and Respected Leader of his Country. We spoke about many things, including Trade, and ending the War with Russia and Ukraine. He agreed to stop buying Russian Oil, and to buy much more from the United States and, potentially, Venezuela. This will help END THE WAR in Ukraine, which is taking place right now, with thousands of people dying each and every week! Out of friendship and respect for Prime Minister Modi and, as per his request, effective immediately, we agreed to a Trade Deal between the United States and India, whereby the United States will charge a reduced Reciprocal Tariff, lowering it from 25% to 18%. They will likewise move forward to reduce their Tariffs and Non Tariff Barriers against the United States, to ZERO. The Prime Minister also committed to ""BUY AMERICAN,"" at a much higher level, in addition to over $500 BILLION DOLLARS of U.S. Energy, Technology, Agricultural, Coal, and many other products. Our amazing relationship with India will be even stronger going forward. Prime Minister Modi and I are two people that GET THINGS DONE, something that cannot be said for most. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",INDA;EPI,long,Trump announces US-India trade deal cutting reciprocal tariff from 25% to 18% -> reduced trade friction and improved sentiment for Indian exporters/economy -> India equity ETFs rise.,21,2,megaphone,US-India trade deal in 2026,medium,"Pre-catalyst, US-India tariff negotiations had been ongoing with a prior 25% reciprocal tariff overhang weighing on Indian equities; a lower 18% rate plus pledged purchases removes a headwind for the Indian market, with INDA/EPI the most liquid US-listed expressions. Megaphone because it is a top Trump Truth Social post the whole market parses instantly. The Russian-oil/US-energy angle is more multi-hop and noisier, so the cleanest expression is long India broad equity."
TRT033,2026-02-06T21:53:51+0000,Trump (Truth Social),Trump Announces Dramatic Drop in Ozempic Price: https://dailycaller.com/2026/02/05/trump-announces-drop-price-ozempic/,NVO;LLY,short,Trump touts a dramatic Ozempic price cut -> lower per-unit GLP-1 pricing pressures Novo Nordisk (Ozempic/Wegovy) and Eli Lilly (Mounjaro/Zepbound) margins -> drugmaker shares fall.,7,2,megaphone,Trump GLP-1 drug price cut deal 2026,medium,"Ozempic is Novo Nordisk's flagship GLP-1; a politically forced price drop directly hits Novo's pricing power and by read-through pressures the GLP-1 duopoly with Eli Lilly. Prior 2025 pharma pricing threats (most-favored-nation pricing, IRA negotiation) have historically dinged these names short-term on headlines. Top Trump post is read instantly by the whole market; near-term negative pricing signal for branded GLP-1 makers."
TRT034,2026-02-12T13:43:44+0000,Trump (Truth Social),Pentagon Prepares Second Aircraft Carrier to Deploy to the Middle East: https://www.wsj.com/politics/national-security/pentagon-prepares-second-aircraft-carrier-to-deploy-to-the-middle-east-e7140a64,USO;ITA;XLE,long,Trump amplifies news of a second carrier deploying to the Middle East -> heightened escalation/conflict risk in the region -> oil supply-risk premium and defense demand rise -> crude and defense ETFs bid.,30,2,megaphone,US military action against Iran in 2026,medium,"A second carrier surge to CENTCOM signals rising Middle East tension, a classic geopolitical risk-premium driver for crude (USO) and defense names (ITA), with energy equities (XLE) as a secondary expression. Trump posting it on Truth Social makes it a high-reach market-wide signal. The buildup is a near-term escalation cue, so a roughly one-month hold captures the risk-premium window without forecasting magnitude."
TRT035,2026-02-12T16:22:08+0000,Trump (Truth Social),"Relations between Venezuela and the United States have been, to put it mildly, extraordinary! We are dealing very well with President Delcy Rodriguez, and her Representatives. Oil is starting to flow, and large amounts of money, unseen for many years, will soon be greatly helping the people of Venezuela. Marco Rubio, and all of our Representatives, are doing a fantastic job, but we speak only for ourselves, and don't want there to be any confusion or misrepresentation. There is a story about a man named Harry Sargeant III in The Wall Street Journal. He has no authority, in any way, shape, or form, to act on behalf of the United States of America, nor does anyone else that is not approved by the State Department. Without this approval, no one is authorized to represent our Country. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",CVX,long,Trump confirms a US-Venezuela rapprochement with oil 'starting to flow' and money moving -> sanctions relief/expanded licenses favor the one US major already operating Venezuelan crude -> Chevron volumes and cash flow upside.,45,2,megaphone,US eases Venezuela oil sanctions in 2026,medium,"As of the telegraph, Chevron holds the existing OFAC license to operate in Venezuela and is the most direct US-listed beneficiary of restored Venezuelan oil flows; a top Trump Truth Social post explicitly stating 'oil is starting to flow' and praising the diplomatic channel is a broad, instantly-read signal pointing to expanded Chevron activity. Direction is long CVX as the cleanest equity expression of warming relations and increased licensed output."
TRT036,2026-02-17T20:21:14+0000,Trump (Truth Social),"Our MASSIVE Trade Deal with Japan has just launched! Japan is now officially, and financially, moving forward with the FIRST set of Investments under its $550 BILLION Dollar Commitment to invest in the United States of America — part of our Historic Trade Deal to REVITALIZE the American Industrial Base, create HUNDREDS OF THOUSANDS of GREAT American Jobs, and strengthen our National and Economic Security like never before. Today, I am pleased to announce three TREMENDOUS Projects in the Strategic Areas of Oil & Gas in the Great State of Texas, Power Generation in the Great State of Ohio, and Critical Minerals in the Great State of Georgia. The scale of these projects are so large, and could not be done without one very special word, TARIFFS. The Gas Power Plant in Ohio (A State I won THREE TIMES!) will be the largest in History, the LNG Facility in the Gulf of America will drive Exports, and further our Country's Energy DOMINANCE, and our Critical Minerals Facility will end our FOOLISH dependance on Foreign Sources. America is building again. America is producing again. And America is WINNING again. This is a very exciting and HISTORIC time for the United States of America and Japan. Congratulations to all! Thank you for your attention to this matter!PRESIDENT DONALD J. TRUMP",LNG;GEV;MP,long,"Trump announces first tranche of Japan's $550B investment funding a Gulf LNG export facility, a record Ohio gas power plant, and a Georgia critical-minerals plant -> tailwind for US LNG exporters (LNG), gas-turbine/power-gen equipment (GEV), and domestic rare-earth/critical-minerals producers (MP).",21,2,megaphone,Japan completes first investments under $550 billion US commitment in 2026,medium,"Top Trump Truth Social post explicitly names three strategic sectors (LNG/oil & gas, gas power generation, critical minerals) tied to large named projects and government-backed Japanese capital. Most direct liquid expressions: Cheniere (LNG export), GE Vernova (dominant US gas-turbine supplier for new power plants), MP Materials (leading US critical-minerals/rare-earth producer reducing foreign dependence). Direction long on policy/capital tailwind; mapping from named sector to flagship beneficiary is roughly two hops. Short horizon to capture initial market reaction to the announcement."
TRT037,2026-02-20T23:39:39+0000,Trump (Truth Social),"It is my Great Honor to have just signed, from the Oval Office, a Global 10% Tariff on all Countries, which will be effective almost immediately. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",XRT;XLY,short,Trump signs a universal 10% tariff on all imports -> higher landed costs and margin compression for import-reliant US retailers and consumer-discretionary names -> short retail/discretionary ETFs.,30,2,megaphone,Trump universal 10% tariff on all countries 2026,medium,"A blanket 10% import tariff raises input costs across import-heavy retail and discretionary supply chains; XRT and XLY most cleanly express margin and demand pressure. Trump has a documented pattern of tariff actions, and prior tariff signals pressured import-exposed retailers. Posted as a top Trump Truth Social statement, so it is broadcast to the entire market instantly."
TRT038,2026-02-21T15:59:33+0000,Trump (Truth Social),"Based on a thorough, detailed, and complete review of the ridiculous, poorly written, and extraordinarily anti-American decision on Tariffs issued yesterday, after MANY months of contemplation, by the United States Supreme Court, please let this statement serve to represent that I, as President of the United States of America, will be, effective immediately, raising the 10% Worldwide Tariff on Countries, many of which have been ""ripping"" the U.S. off for decades, without retribution (until I came along!), to the fully allowed, and legally tested, 15% level. During the next short number of months, the Trump Administration will determine and issue the new and legally permissible Tariffs, which will continue our extraordinarily successful process of Making America Great Again - GREATER THAN EVER BEFORE!!! Thank you for your attention to this matter. President DONALD J. TRUMP",XRT;DLTR;FIVE,short,Trump reasserts a 15% worldwide tariff via alternate legal authority after a SCOTUS loss -> higher landed costs on imported goods squeeze margins of import-dependent US retailers -> short retail/discount-retail names.,21,2,megaphone,Trump worldwide tariff in effect 2026,medium,"Top Trump Truth Social post the whole market reads instantly. He is raising the baseline worldwide tariff from 10% to 15% effective immediately, pivoting to a different statutory authority (Section 122-style ~15% cap) after the SCOTUS struck his prior tariffs. A worldwide tariff hike raises import costs most directly for goods-importing retailers; discount retailers (DLTR, FIVE) and the broad retail basket (XRT) are heavily exposed to Asian import sourcing. Pre-catalyst, market likely priced relief from the SCOTUS ruling against tariffs, so reinstatement at a higher rate is a negative re-pricing for these names. Reasoning uses only the telegraph and the referenced prior SCOTUS decision."
TRT039,2026-02-28T21:37:32+0000,Trump (Truth Social),"Khamenei, one of the most evil people in History, is dead. This is not only Justice for the people of Iran, but for all Great Americans, and those people from many Countries throughout the World, that have been killed or mutilated by Khamenei and his gang of bloodthirsty THUGS. He was unable to avoid our Intelligence and Highly Sophisticated Tracking Systems and, working closely with Israel, there was not a thing he, or the other leaders that have been killed along with him, could do. This is the single greatest chance for the Iranian people to take back their Country. We are hearing that many of their IRGC, Military, and other Security and Police Forces, no longer want to fight, and are looking for Immunity from us. As I said last night, ""Now they can have Immunity, later they only get Death!"" Hopefully, the IRGC and Police will peacefully merge with the Iranian Patriots, and work together as a unit to bring back the Country to the Greatness it deserves. That process should soon be starting in that, not only the death of Khamenei but the Country has been, in only one day, very much destroyed and, even, obliterated. The heavy and pinpoint bombing, however, will continue, uninterrupted throughout the week or, as long as necessary to achieve our objective of PEACE THROUGHOUT THE MIDDLE EAST AND, INDEED, THE WORLD!Thank you for your attention to this matter.PRESIDENT DONALD J. TRUMP",USO;BNO;ITA,long,Trump announces Khamenei killed and ongoing US-Israel bombing of Iran -> active Middle East war with Strait of Hormuz / Iranian crude supply at risk and elevated defense demand -> long oil and defense instruments.,10,2,megaphone,Iran regime change in 2026,medium,"Top Trump Truth Social post declaring Iran's Supreme Leader dead amid continued 'heavy and pinpoint bombing' signals an acute, escalating US-Israel conflict with Iran, a major oil producer adjacent to the Strait of Hormuz; the cleanest immediate market expression is a crude-oil supply-risk premium (USO, BNO) and elevated defense demand (ITA). Acute war-shock events fade or de-escalate quickly, so a short ~10-day horizon captures the supply-risk spike; war/regime instability is the dominant near-term driver regardless of longer-term 'peace' rhetoric."
